"DateTime","Community","Early users","Employees","Investors","Core Team"
"1970-01-01 00:00:00",8.714335449758494,4.804513936934029,1.4413541810802084,1.7143860303597198,6.349577890221184
"1970-01-01 00:00:00",753271.2487105834,415304.4410084071,124591.33230252212,148192.33357568717,548860.4947247672
"1970-01-01 00:00:00",1506533.7830857171,830604.0775028773,249181.22325086317,296382.95276534394,1097714.639871644
"1970-01-01 00:00:00",2259796.317460851,1245903.7139973475,373771.1141992042,444573.5719550007,1646568.785018521
"1970-01-01 00:00:00",3013058.8518359847,1661203.3504918176,498361.00514754525,592764.1911446574,2195422.930165398
"1970-01-01 00:00:00",3766321.386211118,2076502.9869862876,622950.8960958864,740954.8103343142,2744277.0753122745
"1970-01-01 00:00:00",4519583.920586252,2491802.623480758,747540.7870442274,889145.4295239712,3293131.220459152
"1970-01-01 00:00:00",5272846.454961386,2907102.259975228,872130.6779925684,1037336.0487136279,3841985.3656060286
"1970-01-01 00:00:00",6026108.9893365195,3322401.8964696983,996720.5689409095,1185526.6679032845,4390839.510752905
"1970-01-01 00:00:00",6779371.523711653,3737701.5329641686,1121310.4598892503,1333717.2870929413,4939693.655899782
"1970-01-01 00:00:00",7532634.058086786,4153001.1694586384,1245900.3508375913,1481907.9062825982,5488547.801046659
"1970-01-01 00:00:00",8285896.59246192,4568300.805953109,1370490.2417859323,1630098.525472255,6037401.946193536
"1970-01-01 00:00:00",9039159.126837054,4983600.442447579,1495080.1327342733,1778289.1446619118,6586256.091340413
"1970-01-01 00:00:00",9792421.661212187,5398900.078942048,1619670.0236826146,1926479.7638515683,7135110.236487289
"1970-01-01 00:00:00",10545684.195587322,5814199.715436519,1744259.9146309556,2074670.3830412254,7683964.381634167
"1970-01-01 00:00:00",11298946.729962457,6229499.351930991,1868849.8055792968,2222861.0022308826,8232818.526781045
"1970-01-01 00:00:00",12052209.264337588,6644798.988425461,1993439.6965276375,2371051.6214205385,8781672.671927921
"1970-01-01 00:00:00",12805471.798712721,7060098.62491993,2118029.587475979,2519242.2406101953,9330526.817074798
"1970-01-01 00:00:00",13558734.333087856,7475398.2614144,2242619.4784243195,2667432.8597998526,9879380.962221675
"1970-01-01 00:00:00",14311996.86746299,7890697.897908871,2367209.3693726608,2815623.4789895094,10428235.107368553
"1970-01-01 00:00:00",15065259.401838124,8305997.534403341,2491799.2603210015,2963814.098179166,10977089.25251543
"1970-01-01 00:00:00",15818521.936213257,8721297.17089781,2616389.1512693423,3112004.7173688225,11525943.397662304
"1970-01-01 00:00:00",16571784.470588392,9136596.80739228,2740979.042217684,3260195.33655848,12074797.542809183
"1970-01-01 00:00:00",17325047.004963525,9551896.443886753,2865568.933166025,3408385.9557481366,12623651.68795606
"1970-01-01 00:00:00",18078309.53933866,9967196.08038122,2990158.824114366,3556576.5749377934,13172505.833102936
"1970-01-01 00:00:00",18831572.07371379,10382495.716875691,3114748.7150627067,3704767.1941274498,13721359.978249812
"1970-01-01 00:00:00",19584834.608088925,10797795.35337016,3239338.606011048,3852957.8133171066,14270214.123396687
"1970-01-01 00:00:00",20338097.14246406,11213094.989864632,3363928.496959389,4001148.4325067634,14819068.268543568
"1970-01-01 00:00:00",21091359.67683919,11628394.626359101,3488518.38790773,4149339.05169642,15367922.413690442
"1970-01-01 00:00:00",21844622.211214326,12043694.262853572,3613108.2788560707,4297529.670886077,15916776.558837319
"1970-01-01 00:00:00",22597884.74558946,12458993.899348043,3737698.1698044124,4445720.290075734,16465630.7039842
"1970-01-01 00:00:00",23351147.279964596,12874293.535842514,3862288.060752753,4593910.9092653915,17014484.849131074
"1970-01-01 00:00:00",24104409.814339727,13289593.172336983,3986877.951701094,4742101.528455048,17563338.99427795
"1970-01-01 00:00:00",24857672.348714862,13704892.808831453,4111467.842649435,4890292.147644703,18112193.139424827
"1970-01-01 00:00:00",25610934.883089993,14120192.44532592,4236057.733597776,5038482.766834361,18661047.284571704
"1970-01-01 00:00:00",26364197.41746513,14535492.081820393,4360647.624546117,5186673.386024018,19209901.429718584
"1970-01-01 00:00:00",27117459.951840263,14950791.718314862,4485237.515494458,5334864.005213674,19758755.57486546
"1970-01-01 00:00:00",27870722.486215394,15366091.354809333,4609827.4064428,5483054.624403331,20307609.720012337
"1970-01-01 00:00:00",28623985.020590533,15781390.991303805,4734417.297391141,5631245.243592989,20856463.865159214
"1970-01-01 00:00:00",29377247.554965664,16196690.627798274,4859007.188339482,5779435.862782645,21405318.01030609
"1970-01-01 00:00:00",30130510.0893408,16611990.264292745,4983597.079287823,5927626.481972301,21954172.155452967
"1970-01-01 00:00:00",30883772.62371593,17027289.900787212,5108186.970236164,6075817.101161959,22503026.300599843
"1970-01-01 00:00:00",31637035.158091065,17442589.537281685,5232776.861184505,6224007.720351615,23051880.44574672
"1970-01-01 00:00:00",32390297.6924662,17857889.173776157,5357366.752132846,6372198.339541272,23600734.590893596
"1970-01-01 00:00:00",33143560.22684133,18273188.810270622,5481956.643081187,6520388.958730929,24149588.736040473
"1970-01-01 00:00:00",33896822.76121646,18688488.446765095,5606546.534029528,6668579.577920586,24698442.88118735
"1970-01-01 00:00:00",34650085.2955916,19103788.083259564,5731136.42497787,6816770.197110243,25247297.02633423
"1970-01-01 00:00:00",35403347.82996673,19519087.719754037,5855726.31592621,6964960.8162998995,25796151.171481106
"1970-01-01 00:00:00",36156610.36434187,19934387.356248505,5980316.206874551,7113151.435489557,26345005.31662798
"1970-01-01 00:00:00",36909872.898717,20349686.992742978,6104906.097822892,7261342.054679213,26893859.461774856
